LGA_name,LGA_rate,offence_count,offence_subdiv,year
Glen Eira,1.291636978,2,A10 Homicide and related offences,2023
Glen Eira,32.290924462,50,A20 Assault and related offences,2023
Glen Eira,29.061832016,45,A50 Robbery,2023
Glen Eira,7.749821871,12,A60 Blackmail and extortion,2023
Glen Eira,1.937455468,3,A60 Blackmail and extortion,2023
Glen Eira,6.458184892,10,"A70 Stalking, harassment and threatening behaviour",2023
Glen Eira,6.458184892,10,"A70 Stalking, harassment and threatening behaviour",2023
Glen Eira,16.145462231,25,"A70 Stalking, harassment and threatening behaviour",2023
Glen Eira,8.39564036,13,A80 Dangerous and negligent acts endangering people,2023
Glen Eira,10.978914317,17,B10 Arson,2023
Glen Eira,1.291636978,2,B40 Theft,2023
Glen Eira,0.645818489,1,B50 Deception,2023
Glen Eira,268.014673035,415,B50 Deception,2023
Glen Eira,196.328820729,304,C30 Drug use and possession,2023
Glen Eira,0.645818489,1,C90 Other drug offences,2023
Glen Eira,34.874198419,54,D10 Weapons and explosives offences,2023
Glen Eira,9.687277339,15,D20 Disorderly and offensive conduct,2023
Glen Eira,3.874910935,6,D20 Disorderly and offensive conduct,2023
Glen Eira,39.394927844,61,E10 Justice procedures,2023
Glen Eira,3.874910935,6,E10 Justice procedures,2023
Glen Eira,12.270551296,19,E10 Justice procedures,2023
Glen Eira,67.165122881,104,E20 Breaches of orders,2023
Glen Eira,63.290211946,98,E20 Breaches of orders,2023
Glen Eira,11.624732806,18,E20 Breaches of orders,2023
Glen Eira,3.229092446,5,F20 Transport regulation offences,2023
Glen Eira,0.645818489,1,F30 Other government regulatory offences,2023
Glen Eira,0.645818489,1,F30 Other government regulatory offences,2023
Glen Eira,32.961092726,50,A20 Assault and related offences,2022
Glen Eira,203.040331193,308,A20 Assault and related offences,2022
Glen Eira,2.636887418,4,A80 Dangerous and negligent acts endangering people,2022
Glen Eira,201.062665629,305,B40 Theft,2022
Glen Eira,118.00071196,179,B40 Theft,2022
Glen Eira,377.734122642,573,B40 Theft,2022
Glen Eira,280.169288172,425,B50 Deception,2022
Glen Eira,3.296109273,5,B50 Deception,2022
Glen Eira,6.592218545,10,C20 Cultivate or manufacture drugs,2022
Glen Eira,44.167864253,67,D10 Weapons and explosives offences,2022
Glen Eira,1.977665564,3,D10 Weapons and explosives offences,2022
Glen Eira,11.206771527,17,D20 Disorderly and offensive conduct,2022
